IDBMd;IDGG;IDM;BMshareGG
G23-BEV150-NMC111;Iprinc;99;0
G23-BEV150-NMC111;Iprinc;100;0
G23-BEV200-NMC111;Iprinc;41;0.2541
G23-BEV200-NMC111;Iprinc;22;0.1443
G23-BEV200-NMC111;Iprinc;43;0
G23-BEV200-NMC111;Iprinc;44;0.0081
G23-BEV200-NMC111;Iprinc;6;0.0786
G23-BEV200-NMC111;Iprinc;4;0
G23-BEV200-NMC111;Iprinc;4a;0.1271
G23-BEV200-NMC111;Iprinc;4b;0
G23-BEV200-NMC111;Iprinc;5;0
G23-BEV200-NMC111;Iprinc;48;0.0095
G23-BEV200-NMC111;Iprinc;49;0.0265
G23-BEV200-NMC111;Iprinc;50;0.0265
G23-BEV200-NMC111;Iprinc;37;0.0167
G23-BEV200-NMC111;Iprinc;52;0
G23-BEV200-NMC111;Iprinc;10;0.0003
G23-BEV200-NMC111;Iprinc;26;0.0026
G23-BEV200-NMC111;Iprinc;1;0.1885
G23-BEV200-NMC111;Iprinc;2;0.072
G23-BEV200-NMC111;Iprinc;35;0.0001
G23-BEV200-NMC111;Iprinc;58;0.0041
G23-BEV200-NMC111;Iprinc;59;0.0254
G23-BEV200-NMC111;Iprinc;60;0.01560000000000017
G23-BEV200-NMC111;Iprinc;3;0
G23-BEV200-NMC111;Iprinc;8;0
G23-BEV200-NMC111;Iprinc;66;0
G23-BEV200-NMC111;Iprinc;15;0
G23-BEV200-NMC111;Iprinc;68;0
G23-BEV200-NMC111;Iprinc;11;0
G23-BEV200-NMC111;Iprinc;85;0
G23-BEV200-NMC111;Iprinc;86;0
G23-BEV200-NMC111;Iprinc;87;0
G23-BEV200-NMC111;Iprinc;88;0
G23-BEV200-NMC111;Iprinc;89;0
G23-BEV200-NMC111;Iprinc;90;0
G23-BEV200-NMC111;Iprinc;91;0
G23-BEV200-NMC111;Iprinc;92;0.2541
G23-BEV200-NMC111;Iprinc;93;0
G23-BEV200-NMC111;Iprinc;94;0
G23-BEV200-NMC111;Iprinc;95;0
G23-BEV200-NMC111;Iprinc;96;0
G23-BEV200-NMC111;Iprinc;97;0
G23-BEV200-NMC111;Iprinc;98;0
G23-BEV200-NMC111;Iprinc;99;0
G23-BEV200-NMC111;Iprinc;100;0
