IDV;IDVP;GC;GCText;IsCalculated
11;16;1733.912667881893;;1
11;17;20000;;0
11;18;6.944139948849105;;1
11;19;58.99403239556693;;0
11;20;0;;0
11;21;0;;0
11;22;5;;0
11;23;0;;0
11;24;0;;0
11;26;43;;0
11;27;1.437734867860188;;0
11;28;13.21306309144029;;1
11;29;1;;0
11;31;0;;0
11;32;0;PBP-BEV-LFP;0
11;33;0;;1
11;34;8.638297872340425;;1
11;35;192.3659828408699;;1
11;36;0;;1
11;37;173.6034987212276;;1
11;41;1;;0
11;42;173.6034987212276;;1
12;2;106.1978618063655;;0
12;3;136.6638094757866;;0
12;4;0.72;;0
12;5;16.1731876910938;;0
12;6;19.11542065292435;;0
12;7;4.748625160272216;;0
12;8;1.903620943880067;;0
12;9;9.039582309730031;;1
12;10;6;;0
12;11;7;;0
12;12;5;;0
12;13;5;;0
12;14;1;;0
12;15;136.6638094757866;;1
12;16;1235.383754517636;;1
12;17;20000;;0
12;18;4.24791447225462;;1
12;19;60;;0
12;20;0;;0
12;21;0;;0
12;22;5;;0
12;23;0;;0
12;24;0;;0
12;26;43;;0
12;27;1.687627083538811;;0
12;28;15.25544392977872;;1
12;29;1;;0
12;31;0;;0
12;32;0;PBP-BEV-LFP;0
12;33;0;;1
12;34;8.638297872340425;;1
12;35;139.7088128209379;;1
12;36;0;;1
12;37;106.1978618063655;;1
12;41;1;;0
12;42;136.6638094757866;;1
