IDVMR;IDGG;IDM;MshareGG
PBP_BISD2s;C;10;0
PBP_BISD2s;C;14;0
PBP_BISD2s;C;15;0
PBP_BISD2s;C;2;0
PBP_BISD2s;C;23;0
PBP_BISD2s;C;24;0
PBP_BISD2s;C;25;0
PBP_BISD2s;C;26;0
PBP_BISD2s;C;27;0
PBP_BISD2s;C;28;0
PBP_BISD2s;C;30;0
PBP_BISD2s;C;31;0
PBP_BISD2s;C;32;0
PBP_BISD2s;C;33;0
PBP_BISD2s;C;34;0
PBP_BISD2s;C;40;0
PBP_BISD2s;C;5;0
PBP_BISD2s;C;6;0
PBP_BISD2s;C;7;0
PBP_BISD2s;D;1;0.4235772445250729
PBP_BISD2s;D;10;0.1900033934493583
PBP_BISD2s;D;11;0.022191507429111
PBP_BISD2s;D;12;0
PBP_BISD2s;D;14;0.02483202414119764
PBP_BISD2s;D;15;0
PBP_BISD2s;D;16;0
PBP_BISD2s;D;17;0
PBP_BISD2s;D;18;0
PBP_BISD2s;D;19;0
PBP_BISD2s;D;2;0
PBP_BISD2s;D;20;2e-05
PBP_BISD2s;D;21;0
PBP_BISD2s;D;22;0
PBP_BISD2s;D;3;0
PBP_BISD2s;D;40;3.930609427271747e-05
PBP_BISD2s;D;4a;0.04842131457195406
PBP_BISD2s;D;4b;0
PBP_BISD2s;D;5;0.2232940399118986
PBP_BISD2s;D;6;0.06762116987713457
PBP_BISD2s;D;8;0
PBP_BISD2s;E;1;0.3
PBP_BISD2s;E;10;0.05
PBP_BISD2s;E;11;0.05
PBP_BISD2s;E;12;0
PBP_BISD2s;E;3;0.3
PBP_BISD2s;E;40;0
PBP_BISD2s;E;4a;0.3
PBP_BISD2s;E;4b;0
PBP_BISD2s;E;5;0
PBP_BISD2s;E;6;0
PBP_BISD2s;E;8;0
PBP_BISD2s;F;1;0
PBP_BISD2s;F;40;0
PBP_BISD2s;F;5;0
PBP_BISD2s;F;6;0
PBP_BISD2s;G;1;0
PBP_BISD2s;G;10;0
PBP_BISD2s;G;11;0
PBP_BISD2s;G;14;0
PBP_BISD2s;G;15;0
PBP_BISD2s;G;26;0
PBP_BISD2s;G;31;0
PBP_BISD2s;G;32;0
PBP_BISD2s;G;35;0
PBP_BISD2s;G;36;0
PBP_BISD2s;G;37;0
PBP_BISD2s;G;38;0
PBP_BISD2s;G;39;0
PBP_BISD2s;G;40;0
PBP_BISD2s;G;5;0
PBP_BISD2s;G;6;0
PBP_BISD2s;G;7;0
PBP_BISD2s;H;1;0
PBP_BISD2s;H;10;0
PBP_BISD2s;H;11;0
PBP_BISD2s;H;12;0
PBP_BISD2s;H;14;0
PBP_BISD2s;H;15;0
PBP_BISD2s;H;2;0
PBP_BISD2s;H;21;0
PBP_BISD2s;H;40;0
PBP_BISD2s;H;4a;0
PBP_BISD2s;H;4b;0
PBP_BISD2s;H;6;0
PBP_BISD2s;Iaux;10;0.061
PBP_BISD2s;Iaux;29;0.021
PBP_BISD2s;Iaux;37;0
PBP_BISD2s;Iaux;72;0.69
PBP_BISD2s;Iaux;73;0.079
PBP_BISD2s;Iaux;75;0.141
PBP_BISD2s;Iaux;76;0.008000000000000118
